Gate ID,X,Y,Z
1,0.69,-0.08,-2.84
,7.74,0.08,-3.58
2,19.82,0.08,-4.83
,29.28,0.08,-5.43
3,40.7,0.73,-6.13
,49.34,1,-6.66
4,61.12,1.43,-6.96
,69.17,2.68,-7.91
5,82.41,2.62,-8.16
,88.2,3.19,-8.81
6,102.28,4.16,-8.84
,110.56,4.15,-9.27
7,124.12,5.1,-9.3
,131.15,5.6,-9.94
8,144.65,5.72,-10.18
,150.76,5.56,-11.03
9,166.69,5.38,-10.81
,171.78,4.33,-12.36
10,187.21,3.7,-13.46
,195.25,1.46,-14.67
11,207.63,-0.58,-15.33
,213.21,-3.8,-16.35
12,226.35,-7.01,-17.56
,234.17,-12.65,-19.17
13,244.14,-18.21,-19.39
,251.22,-25.92,-22.48
14,260.14,-33.71,-22.06
15,,,
16,,,
